sample_unit_id,State1,State1_Percent,State2,State2_Percent,State3,State3_Percent
121390,Idaho,100.00,NA,0.00,NA,0.00
55603,California,100.00,NA,0.00,NA,0.00
94932,California,100.00,NA,0.00,NA,0.00
91319,Idaho,100.00,NA,0.00,NA,0.00
102370,Oregon,100.00,NA,0.00,NA,0.00
117681,Idaho,100.00,NA,0.00,NA,0.00
61166,California,100.00,NA,0.00,NA,0.00
77346,California,100.00,NA,0.00,NA,0.00
106544,Oregon,100.00,NA,0.00,NA,0.00
108373,Oregon,100.00,NA,0.00,NA,0.00
123670,Washington,100.00,NA,0.00,NA,0.00
88910,California,100.00,NA,0.00,NA,0.00
70398,California,100.00,NA,0.00,NA,0.00
126904,Washington,100.00,NA,0.00,NA,0.00
112128,Idaho,100.00,NA,0.00,NA,0.00
46812,California,100.00,NA,0.00,NA,0.00
100990,Oregon,100.00,NA,0.00,NA,0.00
126024,Idaho,93.05,Montana,6.95,NA,0.00
79644,California,100.00,NA,0.00,NA,0.00
60686,California,100.00,NA,0.00,NA,0.00
129250,Washington,100.00,NA,0.00,NA,0.00
55153,California,100.00,NA,0.00,NA,0.00
82441,California,100.00,NA,0.00,NA,0.00
115343,Oregon,61.15,Washington,38.85,NA,0.00
52825,California,100.00,NA,0.00,NA,0.00
95408,California,100.00,NA,0.00,NA,0.00
98724,Idaho,100.00,NA,0.00,NA,0.00
106063,Oregon,100.00,NA,0.00,NA,0.00
116271,Washington,100.00,NA,0.00,NA,0.00
79190,California,100.00,NA,0.00,NA,0.00
101926,Oregon,100.00,NA,0.00,NA,0.00
47268,California,100.00,NA,0.00,NA,0.00
104662,Oregon,100.00,NA,0.00,NA,0.00
101011,Idaho,100.00,NA,0.00,NA,0.00
92143,California,100.00,NA,0.00,NA,0.00
70406,California,100.00,NA,0.00,NA,0.00
123185,Washington,100.00,NA,0.00,NA,0.00
114918,Idaho,100.00,NA,0.00,NA,0.00
65299,California,100.00,NA,0.00,NA,0.00
118555,Oregon,100.00,NA,0.00,NA,0.00
101941,Idaho,100.00,NA,0.00,NA,0.00
88921,California,100.00,NA,0.00,NA,0.00
