Water
Building
Vegetation
Rock
Other
"Berms, Water"
"Bridge, Vegetation"
"Building, Vegetation"
Cliff
Fence
Hillside
"Metal Tank, Vegetation"
"Reservoir Bank, Vegetation"
Ridge
Rimrock
Rock Cliff
Rock Ledge
"Rock, Vegetation"
"Rock, Vegetation, Water"
"Rock, Water"
"Vegetation, Water"
None
