NW,,96346_NW,,42.07,-119.96,1410,Mock,Mock,4819,1,1,1
NE,,96350_NE,,42.14,-119.43,1613.9,Mock,Mock,4823,1,1,1
NW,1,96350_NW1,,42.13,-119.52,1569.7,Mock,Mock,4823,1,1,1
NW,2,96350_NW2,,42.11,-119.52,1586.2,Mock,Mock,4823,1,1,1
SW,,96350_SW,,42.09,-119.46,1672.1,Mock,Mock,4823,1,1,1
NE,,96362_NE,,42.38,-118.04,1432.6,Mock,Mock,4835,1,1,1
SE,,96362_SE,,42.37,-118,1475.2,Mock,Mock,4835,1,1,1
SW,1,96362_SW1,,42.36,-118.05,1450.8,Mock,Mock,4835,1,1,1
SW,2,96362_SW2,,42.35,-118.07,1585,Mock,Mock,4835,1,1,1
SE,,96805_SE,,41.99,-120.37,1432.6,Mock,Mock,4925,1,1,1
NE,1,96806_NE1,,42.06,-120.32,1455.4,Mock,Mock,4926,1,1,1
NE,2,96806_NE2,,42.07,-120.31,1476.1,Mock,Mock,4926,1,1,1
SE,,96806_SE,,42.01,-120.27,1562.1,Mock,Mock,4926,1,1,1
NW,1,96809_NW1,,42.14,-119.98,1758.4,Mock,Mock,4929,1,1,1
NW,2,96809_NW2,,42.1,-120.02,1738.6,Mock,Mock,4929,1,1,1
SW,,96809_SW,,42.08,-119.99,1761,Mock,Mock,4929,1,1,1
SE,,97262_SE,,41.94,-121.11,1402.1,Mock,Mock,5030,1,1,1
NE,2,97263_NE2,,42,-121.03,1536.2,Mock,Mock,5031,1,1,1
NW,1,97263_NW1,,42,-121.1,1402.1,Mock,Mock,5031,1,1,1
NW,2,97263_NW2,,42.02,-121.12,1389.9,Mock,Mock,5031,1,1,1
NW,,97264_NW,,42.04,-121,1481.3,Mock,Mock,5032,1,1,1
NE,1,97270_NE1,,42.16,-120.23,2000,Mock,Mock,5038,1,1,1
NE,2,97270_NE2,,42.18,-120.19,1874,Mock,Mock,5038,1,1,1
NW,,97270_NW,,42.17,-120.27,1948,Mock,Mock,5038,1,1,1
SW,,97270_SW,,42.11,-120.28,1544,Mock,Mock,5038,1,1,1
NE,1,97272_NE1,,42.22,-119.99,1730,Mock,Mock,5040,1,1,1
NE,2,97272_NE2,,42.21,-119.96,1816,Mock,Mock,5040,1,1,1
SW,1,97272_SW1,,42.19,-120.01,1556.6,Mock,Mock,5040,1,1,1
SW,2,97272_SW2,,42.17,-120.01,1734.3,Mock,Mock,5040,1,1,1
NE,,97729_NE,,42.16,-120.74,1526,Mock,Mock,5145,1,1,1
NW,,97729_NW,,42.17,-120.79,1593,Mock,Mock,5145,1,1,1
SE,,97729_SE,,42.15,-120.71,1587,Mock,Mock,5145,1,1,1
SW,,97729_SW,,42.12,-120.77,1567,Mock,Mock,5145,1,1,1
NW,,97742_NW,,42.46,-119.22,1480.2,Mock,Mock,5158,1,1,1
SW,1,97742_SW1,,42.42,-119.24,1541,Mock,Mock,5158,1,1,1
SW,2,97742_SW2,,42.4,-119.23,1560.1,Mock,Mock,5158,1,1,1
SW,,97743_SW,,42.43,-119.13,1504.8,Mock,Mock,5159,1,1,1
NE,,99569_NE,,42.24,-122.23,1554.5,Mock,Mock,5575,1,1,1
NW,,99569_NW,,42.23,-122.3,1700.8,Mock,Mock,5575,1,1,1
SE,,99569_SE,,42.2,-122.25,1249.7,Mock,Mock,5575,1,1,1
SW,,99569_SW,,42.18,-122.3,1219.2,Mock,Mock,5575,1,1,1
SW,1,99569_SW1,,42.18,-122.3,1166,Mock,Mock,5575,1,1,1
SE,1,100037_SE1,,42.4,-121.69,1890,Mock,Mock,5692,1,1,1
SE,2,100037_SE2,,42.4,-121.68,2118,Mock,Mock,5692,1,1,1
NE,,100038_NE,,42.45,-121.6,1400,Mock,Mock,5693,1,1,1
NW,1,100038_NW1,,42.46,-121.64,1440,Mock,Mock,5693,1,1,1
NW,2,100038_NW2,,42.44,-121.63,1442,Mock,Mock,5693,1,1,1
NE,1,100041_NE1,,42.53,-121.24,1517.9,Mock,Mock,5696,1,1,1
NE,2,100041_NE2,,42.54,-121.24,1432.6,Mock,Mock,5696,1,1,1
NW,,100041_NW,,42.53,-121.27,1371.6,Mock,Mock,5696,1,1,1
SE,,100041_SE,,42.52,-121.2,1377.7,Mock,Mock,5696,1,1,1
NE,,100044_NE,,42.63,-120.87,1908,Mock,Mock,5699,1,1,1
SW,,100044_SW,,42.59,-120.9,1908,Mock,Mock,5699,1,1,1
SW,,100045_SW,,42.59,-120.83,1906.2,Mock,Mock,5700,1,1,1
NE,,100055_NE,,42.86,-119.55,1396,Mock,Mock,5710,1,1,1
NW,1,100055_NW1,,42.83,-119.62,1447,Mock,Mock,5710,1,1,1
NW,2,100055_NW2,,42.84,-119.63,1468,Mock,Mock,5710,1,1,1
NW,3,100055_NW3,,42.86,-119.64,1496,Mock,Mock,5710,1,1,1
NW,1,100495_NW1,,42.38,-122.37,1365.5,Mock,Mock,5798,1,1,1
NW,2,100495_NW2,,42.42,-122.37,1414.3,Mock,Mock,5798,1,1,1
SW,1,100495_SW1,,42.37,-122.35,1377.7,Mock,Mock,5798,1,1,1
SW,2,100495_SW2,,42.36,-122.35,1401.8,Mock,Mock,5798,1,1,1
SW,,100507_SW,,42.63,-120.93,1874.8,Mock,Mock,5810,1,1,1
NE,,100518_NE,,42.94,-119.58,1460,Mock,Mock,5821,1,1,1
NW,1,100518_NW1,,42.91,-119.66,1544,Mock,Mock,5821,1,1,1
NW,2,100518_NW2,,42.95,-119.68,1667,Mock,Mock,5821,1,1,1
SW,,100518_SW,,42.88,-119.65,1526,Mock,Mock,5821,1,1,1
NE,,100538_NE,,43.37,-117.21,1085.1,Mock,Mock,5841,1,1,1
NW,,100538_NW,,43.37,-117.24,981.5,Mock,Mock,5841,1,1,1
SE,,100538_SE,,43.32,-117.19,1426.5,Mock,Mock,5841,1,1,1
SW,,100538_SW,,43.29,-117.25,1121.7,Mock,Mock,5841,1,1,1
NE,,100990_NE,,43.23,-118.58,1347,Mock,Mock,5941,1,1,1
NW,,100990_NW,,43.22,-118.61,1357,Mock,Mock,5941,1,1,1
SE,,100990_SE,,43.21,-118.6,1389,Mock,Mock,5941,1,1,1
SW,,100990_SW,,43.21,-118.63,1354,Mock,Mock,5941,1,1,1
NE,,100997_NE,,43.38,-117.73,1298.8,Mock,Mock,5948,1,1,1
NW,,100997_NW,,43.36,-117.77,1310,Mock,Mock,5948,1,1,1
SE,,100997_SE,,43.33,-117.71,1437.8,Mock,Mock,5948,1,1,1
SW,,100997_SW,,43.32,-117.75,1327.1,Mock,Mock,5948,1,1,1
NE,1,101437_NE1,,42.97,-120.49,1562.1,Mock,Mock,6036,1,1,1
NE,2,101437_NE2,,42.96,-120.49,1567.9,Mock,Mock,6036,1,1,1
SE,1,101437_SE1,,42.9,-120.46,1436.8,Mock,Mock,6036,1,1,1
SE,2,101437_SE2,,42.9,-120.49,1372.5,Mock,Mock,6036,1,1,1
NE,,101883_NE,,42.65,-122.54,1369.5,Mock,Mock,6130,1,1,1
NW,,101883_NW,,42.64,-122.58,1030.8,Mock,Mock,6130,1,1,1
SE,,101883_SE,,42.58,-122.54,1206.7,Mock,Mock,6130,1,1,1
SW,,101883_SW,,42.6,-122.61,791.6,Mock,Mock,6130,1,1,1
NE,1,102346_NE1,,42.73,-122.6,1207,Mock,Mock,6241,1,1,1
NE,2,102346_NE2,,42.72,-122.6,1256,Mock,Mock,6241,1,1,1
SW,1,102346_SW1,,42.69,-122.6,634,Mock,Mock,6241,1,1,1
SW,2,102346_SW2,,42.65,-122.61,780,Mock,Mock,6241,1,1,1
NE,,102370_NE,,43.3,-119.7,1328.9,Mock,Mock,6265,1,1,1
NW,,102370_NW,,43.27,-119.75,1365.5,Mock,Mock,6265,1,1,1
SE,,102370_SE,,43.26,-119.71,1322.8,Mock,Mock,6265,1,1,1
SW,,102370_SW,,43.24,-119.75,1335,Mock,Mock,6265,1,1,1
NE,,102386_NE,,43.65,-117.76,1048.5,Mock,Mock,6281,1,1,1
NW,,102386_NW,,43.62,-117.88,1463,Mock,Mock,6281,1,1,1
SE,,102386_SE,,43.58,-117.8,1347.2,Mock,Mock,6281,1,1,1
SW,,102386_SW,,43.6,-117.83,1127.8,Mock,Mock,6281,1,1,1
NE,,103301_NE,,43.57,-119.19,1365.2,Mock,Mock,6486,1,1,1
NW,1,103301_NW1,,43.55,-119.22,1271.6,Mock,Mock,6486,1,1,1
NW,2,103301_NW2,,43.57,-119.25,1512.1,Mock,Mock,6486,1,1,1
