SampleUnit,GRTS,State1,State1_Percent,State2,State2_Percent,State3,State3_Percent,State_County1,State_County1_Percent,State_County2,State_County2_Percent,State_County3,State_County3_Percent,State_County4,State_County4_Percent,BroadHabitat_Class,BroadHabitat_Form
70879,438,California,100.00,NA,0.00,NA,0.00,California_Inyo,99.98,California_Fresno,0.02,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
123656,449,Washington,100.00,NA,0.00,NA,0.00,Washington_Thurston,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
97742,474,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Harney,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
125092,481,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Bonner,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
84737,490,California,100.00,NA,0.00,NA,0.00,California_Lake,66.93,California_Mendocino,33.07,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
60212,502,California,100.00,NA,0.00,NA,0.00,California_Santa Barbara,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
131055,513,Washington,100.00,NA,0.00,NA,0.00,Washington_Clallam,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
122740,529,Washington,100.00,NA,0.00,NA,0.00,Washington_Pierce,73.29,Washington_Yakima,20.68,Washington_King,3.53,Washington_Kittitas,2.49,Forest & Woodland,Cool Temperate Forest & Woodland
104277,545,Idaho,90.13,Montana,9.87,NA,0.00,Idaho_Lemhi,90.13,Montana_Beaverhead,9.87,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
53774,550,California,100.00,NA,0.00,NA,0.00,California_San Bernardino,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
74113,554,California,100.00,NA,0.00,NA,0.00,California_Mariposa,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
118609,561,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Benewah,50.52,Idaho_Latah,49.48,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
99113,570,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Klamath,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
94086,586,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Blaine,56.44,Idaho_Cassia,22.57,Idaho_Power,20.99,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
112992,593,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Lincoln,100.00,NA,0.00,NA,0.00,NA,0.00,Shrub & Herb Vegetation,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland"
120917,609,Washington,100.00,NA,0.00,NA,0.00,Washington_Spokane,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
64873,614,California,100.00,NA,0.00,NA,0.00,California_Inyo,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
108393,625,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Wheeler,55.28,Oregon_Grant,44.72,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
94488,634,California,100.00,NA,0.00,NA,0.00,California_Modoc,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
97787,650,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Blaine,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
106511,657,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Douglas,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Warm Temperate Forest & Woodland
125985,673,Washington,100.00,NA,0.00,NA,0.00,Washington_King,75.23,Washington_Snohomish,18.37,Washington_Chelan,6.39,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
89368,682,California,100.00,NA,0.00,NA,0.00,California_Mendocino,77.20,California_Trinity,22.80,NA,0.00,NA,0.00,Forest & Woodland,Warm Temperate Forest & Woodland
115828,689,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Nez Perce,100.00,NA,0.00,NA,0.00,NA,0.00,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
71784,694,California,100.00,NA,0.00,NA,0.00,California_Merced,100.00,NA,0.00,NA,0.00,NA,0.00,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
128752,705,Washington,100.00,NA,0.00,NA,0.00,Washington_Jefferson,100.00,NA,0.00,NA,0.00,NA,0.00,Agricultural & Developed Vegetation,Pasture & Hay Field Crop
111207,721,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Idaho,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
44967,726,California,39.56,NA,0.00,NA,0.00,California_Imperial,39.56,NA,0.00,NA,0.00,NA,0.00,0,0
101451,730,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Harney,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
75016,746,California,100.00,NA,0.00,NA,0.00,California_Santa Clara,59.98,California_San Mateo,39.85,California_Santa Cruz,0.17,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
64400,758,California,100.00,NA,0.00,NA,0.00,California_Inyo,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
94532,778,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Owyhee,100.00,NA,0.00,NA,0.00,NA,0.00,Introduced & Semi Natural Vegetation,Introduced & Semi Natural Vegetation
58396,806,California,100.00,NA,0.00,NA,0.00,California_San Bernardino,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
80592,810,California,100.00,NA,0.00,NA,0.00,California_El Dorado,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
115350,817,Washington,100.00,NA,0.00,NA,0.00,Washington_Walla Walla,100.00,NA,0.00,NA,0.00,NA,0.00,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
56524,822,California,100.00,NA,0.00,NA,0.00,California_Los Angeles,100.00,NA,0.00,NA,0.00,NA,0.00,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
97256,826,California,100.00,NA,0.00,NA,0.00,California_Siskiyou,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
98714,842,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Blaine,91.99,Idaho_Butte,8.01,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
107925,849,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Crook,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
118584,865,Washington,100.00,NA,0.00,NA,0.00,Washington_Benton,100.00,NA,0.00,NA,0.00,NA,0.00,Recently Disturbed or Modified,Recently Disturbed or Modified
73642,874,California,100.00,NA,0.00,NA,0.00,California_Merced,100.00,NA,0.00,NA,0.00,NA,0.00,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
104246,881,Oregon,69.72,Idaho,30.28,NA,0.00,Oregon_Malheur,69.72,Idaho_Payette,30.28,NA,0.00,NA,0.00,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
50043,886,California,38.52,NA,0.00,NA,0.00,California_San Diego,38.52,NA,0.00,NA,0.00,NA,0.00,Open Water,Open Water
104665,913,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Douglas,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
99617,922,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Owyhee,92.72,Idaho_Canyon,6.55,Idaho_Ada,0.73,NA,0.00,Shrub & Herb Vegetation,Salt Marsh
94458,938,California,100.00,NA,0.00,NA,0.00,California_Humboldt,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
72258,950,California,100.00,NA,0.00,NA,0.00,California_Madera,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Warm Temperate Forest & Woodland
116699,961,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Tillamook,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
115375,977,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Clearwater,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
50521,982,California,100.00,NA,0.00,NA,0.00,California_Riverside,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
77335,1002,California,100.00,NA,0.00,NA,0.00,California_Contra Costa,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Warm Temperate Forest & Woodland
119485,1041,Washington,57.03,Oregon,42.97,NA,0.00,Washington_Cowlitz,57.03,Oregon_Columbia,42.97,NA,0.00,NA,0.00,Open Water,Open Water
102870,1057,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Boise,99.24,Idaho_Elmore,0.76,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
44975,1062,California,100.00,NA,0.00,NA,0.00,California_Imperial,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
89390,1082,California,100.00,NA,0.00,NA,0.00,California_Lassen,100.00,NA,0.00,NA,0.00,NA,0.00,Recently Disturbed or Modified,Recently Disturbed or Modified
94078,1098,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Twin Falls,75.60,Idaho_Jerome,24.40,NA,0.00,NA,0.00,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
128278,1105,Washington,100.00,NA,0.00,NA,0.00,Washington_Jefferson,100.00,NA,0.00,NA,0.00,NA,0.00,Recently Disturbed or Modified,Recently Disturbed or Modified
126466,1121,Washington,100.00,NA,0.00,NA,0.00,Washington_Okanogan,71.58,Washington_Ferry,28.42,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
51448,1126,California,100.00,NA,0.00,NA,0.00,California_Riverside,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
80116,1130,California,100.00,NA,0.00,NA,0.00,California_Solano,85.25,California_Yolo,14.75,NA,0.00,NA,0.00,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
114412,1137,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Gilliam,99.59,Oregon_Morrow,0.41,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
95875,1146,California,100.00,NA,0.00,NA,0.00,California_Modoc,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
95946,1162,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Bingham,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
113472,1169,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Clackamas,84.56,Oregon_Wasco,15.44,NA,0.00,NA,0.00,Recently Disturbed or Modified,Recently Disturbed or Modified
119042,1185,Washington,100.00,NA,0.00,NA,0.00,Washington_Yakima,100.00,NA,0.00,NA,0.00,NA,0.00,Agricultural & Developed Vegetation,Pasture & Hay Field Crop
96777,1194,California,100.00,NA,0.00,NA,0.00,California_Humboldt,88.29,California_Del Norte,11.56,California_Siskiyou,0.15,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
109335,1201,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Baker,51.76,Oregon_Union,48.24,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
66254,1206,California,100.00,NA,0.00,NA,0.00,California_Inyo,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
95455,1242,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Owyhee,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
80111,1258,California,100.00,NA,0.00,NA,0.00,California_Napa,100.00,NA,0.00,NA,0.00,NA,0.00,Developed & Other Human Use,Developed & Urban
61145,1270,California,100.00,NA,0.00,NA,0.00,California_Kern,100.00,NA,0.00,NA,0.00,NA,0.00,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
132456,1281,Washington,93.54,NA,0.00,NA,0.00,Washington_San Juan,93.54,NA,0.00,NA,0.00,NA,0.00,Open Water,Open Water
117643,1297,Washington,100.00,NA,0.00,NA,0.00,Washington_Klickitat,97.55,Washington_Skamania,1.67,Washington_Yakima,0.78,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
100586,1298,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Fremont,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
58365,1334,California,100.00,NA,0.00,NA,0.00,California_Ventura,100.00,NA,0.00,NA,0.00,NA,0.00,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
92159,1338,California,100.00,NA,0.00,NA,0.00,California_Shasta,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Warm Temperate Forest & Woodland
114854,1361,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Clackamas,94.88,Oregon_Marion,5.12,NA,0.00,NA,0.00,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
118131,1377,Washington,100.00,NA,0.00,NA,0.00,Washington_Franklin,99.40,Washington_Walla Walla,0.60,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
61174,1382,California,100.00,NA,0.00,NA,0.00,California_San Bernardino,94.25,California_Inyo,5.75,NA,0.00,NA,0.00,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
105159,1393,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Harney,68.90,Oregon_Grant,31.10,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
101482,1418,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Elmore,99.41,Idaho_Camas,0.59,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
110232,1425,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Jefferson,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
128765,1441,Washington,100.00,NA,0.00,NA,0.00,Washington_Skagit,77.00,Washington_Snohomish,15.55,Washington_Chelan,7.45,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
68574,1446,California,100.00,NA,0.00,NA,0.00,California_Inyo,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
111657,1457,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Wallowa,100.00,NA,0.00,NA,0.00,NA,0.00,Shrub & Herb Vegetation,Temperate Grassland & Shrubland
72725,1462,California,100.00,NA,0.00,NA,0.00,California_Madera,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
126901,1473,Washington,100.00,NA,0.00,NA,0.00,Washington_Kitsap,88.56,Washington_King,11.44,NA,0.00,NA,0.00,Open Water,Open Water
126481,1505,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Bonner,100.00,NA,0.00,NA,0.00,NA,0.00,Open Water,Open Water
87060,1514,California,100.00,NA,0.00,NA,0.00,California_Glenn,100.00,NA,0.00,NA,0.00,NA,0.00,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
62543,1526,California,100.00,NA,0.00,NA,0.00,California_Kern,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Warm Temperate Forest & Woodland
66686,1546,California,100.00,NA,0.00,NA,0.00,California_Monterey,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
120885,1553,Washington,100.00,NA,0.00,NA,0.00,Washington_Lewis,100.00,NA,0.00,NA,0.00,NA,0.00,Developed & Other Human Use,Developed & Urban
106122,1569,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Lemhi,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
54239,1574,California,100.00,NA,0.00,NA,0.00,California_San Bernardino,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
75965,1578,California,100.00,NA,0.00,NA,0.00,California_Tuolumne,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Temperate Flooded & Swamp Forest
121390,1585,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Kootenai,62.27,Idaho_Shoshone,37.73,NA,0.00,NA,0.00,Shrub & Herb Vegetation,Temperate Grassland & Shrubland
55603,1590,California,100.00,NA,0.00,NA,0.00,California_San Bernardino,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
94932,1594,California,100.00,NA,0.00,NA,0.00,California_Trinity,94.50,California_Siskiyou,5.50,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
91319,1610,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Franklin,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
102370,1617,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Harney,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
117681,1633,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Latah,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
61166,1638,California,100.00,NA,0.00,NA,0.00,California_San Bernardino,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Warm Desert & Semi-Desert Scrub & Grassland
77346,1642,California,100.00,NA,0.00,NA,0.00,California_Calaveras,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Warm Temperate Forest & Woodland
106544,1649,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Grant,100.00,NA,0.00,NA,0.00,NA,0.00,Recently Disturbed or Modified,Recently Disturbed or Modified
108373,1681,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Lane,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
123670,1697,Washington,100.00,NA,0.00,NA,0.00,Washington_Kittitas,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
88910,1706,California,100.00,NA,0.00,NA,0.00,California_Tehama,100.00,NA,0.00,NA,0.00,NA,0.00,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
70398,1718,California,100.00,NA,0.00,NA,0.00,California_Fresno,100.00,NA,0.00,NA,0.00,NA,0.00,Agricultural & Developed Vegetation,Row & Close Grain Crop Cultural Formation
126904,1729,Washington,100.00,NA,0.00,NA,0.00,Washington_King,69.44,Washington_Snohomish,30.56,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
112128,1745,Idaho,100.00,NA,0.00,NA,0.00,Idaho_Idaho,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
46812,1750,California,100.00,NA,0.00,NA,0.00,California_San Diego,100.00,NA,0.00,NA,0.00,NA,0.00,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
100990,1754,Oregon,100.00,NA,0.00,NA,0.00,Oregon_Harney,100.00,NA,0.00,NA,0.00,NA,0.00,Desert & Semi-Desert,Cool Semi-Desert Scrub & Grassland
126024,1761,Idaho,93.05,Montana,6.95,NA,0.00,Idaho_Boundary,93.05,Montana_Lincoln,6.95,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
79644,1770,California,100.00,NA,0.00,NA,0.00,California_Marin,100.00,NA,0.00,NA,0.00,NA,0.00,Forest & Woodland,Warm Temperate Forest & Woodland
60686,1782,California,100.00,NA,0.00,NA,0.00,California_Kern,100.00,NA,0.00,NA,0.00,NA,0.00,Shrub & Herb Vegetation,Mediterranean Scrub & Grassland
129250,1825,Washington,100.00,NA,0.00,NA,0.00,Washington_Ferry,98.32,Washington_Stevens,1.68,NA,0.00,NA,0.00,Forest & Woodland,Cool Temperate Forest & Woodland
